query_id,node_id,source_fresh_id,source_version_id,source_version_number,source_relative_class_path,github_repo,snapshot_commit,snapshot_ref,snapshot_resolution,snapshot_exact_release_claim,java_path,java_mapping_status,java_candidate_count,source_resolvable,high_confidence_mapping
Q6K00345,Q6K00345_N05,FMOD0086,VxmUBIb6,1.1.11+26.1,io/github/zhengzhengyiyi/hud/BlockOverlayHudElement.class,https://github.com/zhengzhengyiyi/config-editor,8fd93ec5d19f02a3ca2d7c1cc375af7262e40fef,,DATE_HEURISTIC,False,src/client/java/io/github/zhengzhengyiyi/hud/BlockOverlayHudElement.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00345,Q6K00345_N07,FMOD0001,NKfar19f,1.21.1-fabric-1.0.1,com/jfyx2025/mixin/ServerPacketMixin.class,,,,NO_GITHUB_REPOSITORY,False,,NO_BASENAME_MATCH,0,False,False
Q6K00346,Q6K00346_N01,FMOD0005,T1v8YBHE,0.6.3,net/Realism/gui/TrainSettingsGui$6.class,https://github.com/stacode123/CreateRealism,4ac288ca26e7178ed2636b17c7875770bb8d2d94,,DATE_HEURISTIC,False,common/src/main/java/net/Realism/gui/TrainSettingsGui.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00346,Q6K00346_N02,FMOD0035,JlTOmyMX,2.11,dev/hexnowloading/dungeonnowloading/entity/client/layer/HollowTransparentLayer.class,https://github.com/hexnowloading/DungeonNowLoading,,,REPOSITORY_ERROR,False,,NO_BASENAME_MATCH,0,False,False
Q6K00346,Q6K00346_N03,FMOD0035,JlTOmyMX,2.11,dev/hexnowloading/dungeonnowloading/entity/passive/CopperCreepEntity.class,https://github.com/hexnowloading/DungeonNowLoading,,,REPOSITORY_ERROR,False,,NO_BASENAME_MATCH,0,False,False
Q6K00346,Q6K00346_N04,FMOD0014,OYyhfwOB,0.5.5,com/jrxmod/lumiereplay/client/video/VideoManager.class,https://github.com/jrxmod/lumiereplay,d385dbb22fa2ae44d6b0703a7d0ccb48ad455a9d,,DATE_HEURISTIC,False,src/client/java/com/jrxmod/lumiereplay/client/video/VideoManager.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00346,Q6K00346_N06,FMOD0005,T1v8YBHE,0.6.3,net/Realism/gui/TrainSettingsGui$4.class,https://github.com/stacode123/CreateRealism,4ac288ca26e7178ed2636b17c7875770bb8d2d94,,DATE_HEURISTIC,False,common/src/main/java/net/Realism/gui/TrainSettingsGui.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00347,Q6K00347_N01,FMOD0035,JlTOmyMX,2.11,dev/hexnowloading/dungeonnowloading/registry/DNLCreativeModeTabs.class,https://github.com/hexnowloading/DungeonNowLoading,,,REPOSITORY_ERROR,False,,NO_BASENAME_MATCH,0,False,False
Q6K00347,Q6K00347_N02,FMOD0035,JlTOmyMX,2.11,dev/hexnowloading/dungeonnowloading/DungeonNowLoading.class,https://github.com/hexnowloading/DungeonNowLoading,,,REPOSITORY_ERROR,False,,NO_BASENAME_MATCH,0,False,False
Q6K00347,Q6K00347_N05,FMOD0053,F3g7u9VM,1.21.11-fabric-1,io/github/lgatodu47/screenshot_viewer/screen/manage_screenshots/ManageScreenshotsScreen$ExtendedButtonWidget.class,https://github.com/LGatodu47/ScreenshotViewer,136486d7b0d1d8499e9cee3f4c8c4ef687c9d968,,DATE_HEURISTIC,False,src/main/java/io/github/lgatodu47/screenshot_viewer/screen/manage_screenshots/ManageScreenshotsScreen.java,EXACT_PACKAGE_SUFFIX,1,True,False
