query_id,parent_count,method,component_accuracy,parent_precision,parent_recall,parent_f1,parent_set_exact,component_set_exact
Q0033,2,MEAN_REGRET,0.3333333333333333,0.5,0.5,0.5,False,False
Q0033,2,MEDIAN_REGRET,0.3333333333333333,0.5,0.5,0.5,False,False
Q0033,2,MEAN_RANK,0.5,0.5,0.5,0.5,False,False
Q0034,2,SINGLE_3GRAM,0.0,0.0,0.0,0.0,False,False
Q0034,2,SINGLE_STRUCT,0.0,0.0,0.0,0.0,False,False
Q0034,2,SINGLE_CONTEXT,0.3333333333333333,0.5,0.5,0.5,False,False
Q0034,2,MEAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0034,2,MEDIAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0034,2,MEAN_RANK,0.3333333333333333,0.5,0.5,0.5,False,False
Q0035,2,SINGLE_3GRAM,0.16666666666666666,0.5,0.5,0.5,False,False
Q0035,2,SINGLE_STRUCT,0.16666666666666666,0.5,0.5,0.5,False,False
Q0035,2,SINGLE_CONTEXT,0.3333333333333333,0.5,0.5,0.5,False,False
Q0035,2,MEAN_REGRET,0.16666666666666666,0.5,0.5,0.5,False,False
Q0035,2,MEDIAN_REGRET,0.16666666666666666,0.5,0.5,0.5,False,False
Q0035,2,MEAN_RANK,0.3333333333333333,0.5,0.5,0.5,False,False
Q0036,2,SINGLE_3GRAM,0.0,0.0,0.0,0.0,False,False
Q0036,2,SINGLE_STRUCT,0.0,0.0,0.0,0.0,False,False
Q0036,2,SINGLE_CONTEXT,0.0,0.0,0.0,0.0,False,False
Q0036,2,MEAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0036,2,MEDIAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0036,2,MEAN_RANK,0.16666666666666666,0.5,0.5,0.5,False,False
Q0037,2,SINGLE_3GRAM,1.0,1.0,1.0,1.0,True,True
Q0037,2,SINGLE_STRUCT,1.0,1.0,1.0,1.0,True,True
Q0037,2,SINGLE_CONTEXT,0.5,0.5,0.5,0.5,False,False
Q0037,2,MEAN_REGRET,1.0,1.0,1.0,1.0,True,True
Q0037,2,MEDIAN_REGRET,1.0,1.0,1.0,1.0,True,True
Q0037,2,MEAN_RANK,1.0,1.0,1.0,1.0,True,True
Q0038,2,SINGLE_3GRAM,0.16666666666666666,0.5,0.5,0.5,False,False
Q0038,2,SINGLE_STRUCT,0.3333333333333333,0.5,0.5,0.5,False,False
Q0038,2,SINGLE_CONTEXT,0.16666666666666666,0.5,0.5,0.5,False,False
Q0038,2,MEAN_REGRET,0.3333333333333333,0.5,0.5,0.5,False,False
Q0038,2,MEDIAN_REGRET,0.3333333333333333,0.5,0.5,0.5,False,False
Q0038,2,MEAN_RANK,0.3333333333333333,0.5,0.5,0.5,False,False
Q0039,2,SINGLE_3GRAM,0.0,0.0,0.0,0.0,False,False
Q0039,2,SINGLE_STRUCT,0.0,0.0,0.0,0.0,False,False
