representation,condition,method,queries,component_accuracy,parent_precision,parent_recall,parent_f1,parent_set_exact,component_set_exact
OPCODE_CONTEXT,BRIDGE,B1_INDEPENDENT,150,0.32185185185185183,0.322515873015873,0.6277777777777778,0.4232183742183742,0.0,0.0
OPCODE_CONTEXT,BRIDGE,B2_EXACT_GLOBAL,150,0.3377777777777778,0.4744444444444444,0.4744444444444444,0.4744444444444444,0.08,0.03333333333333333
OPCODE_CONTEXT,BRIDGE,B3_HARD_COMPONENT,150,0.19,0.4533333333333333,0.19,0.26555555555555554,0.0,0.0
OPCODE_CONTEXT,BRIDGE,B4_SOFT_GRAPH,150,0.2737037037037037,0.28949206349206347,0.5299999999999999,0.370989417989418,0.006666666666666667,0.006666666666666667
OPCODE_CONTEXT,CLEAN,B1_INDEPENDENT,150,0.32185185185185183,0.322515873015873,0.6277777777777778,0.4232183742183742,0.0,0.0
OPCODE_CONTEXT,CLEAN,B2_EXACT_GLOBAL,150,0.3377777777777778,0.4744444444444444,0.4744444444444444,0.4744444444444444,0.08,0.03333333333333333
OPCODE_CONTEXT,CLEAN,B3_HARD_COMPONENT,150,0.38666666666666666,0.45111111111111113,0.4311111111111112,0.43866666666666676,0.08,0.08
OPCODE_CONTEXT,CLEAN,B4_SOFT_GRAPH,150,0.2737037037037037,0.28949206349206347,0.5299999999999999,0.370989417989418,0.006666666666666667,0.006666666666666667
OPCODE_CONTEXT,DROP30,B1_INDEPENDENT,150,0.32185185185185183,0.322515873015873,0.6277777777777778,0.4232183742183742,0.0,0.0
OPCODE_CONTEXT,DROP30,B2_EXACT_GLOBAL,150,0.3377777777777778,0.4744444444444444,0.4744444444444444,0.4744444444444444,0.08,0.03333333333333333
OPCODE_CONTEXT,DROP30,B3_HARD_COMPONENT,150,0.3951851851851852,0.3887777777777778,0.5355555555555556,0.4459312169312169,0.02,0.02
OPCODE_CONTEXT,DROP30,B4_SOFT_GRAPH,150,0.2737037037037037,0.28949206349206347,0.5299999999999999,0.370989417989418,0.006666666666666667,0.006666666666666667
OPCODE_CONTEXT,DROP30_BRIDGE,B1_INDEPENDENT,150,0.32185185185185183,0.322515873015873,0.6277777777777778,0.4232183742183742,0.0,0.0
OPCODE_CONTEXT,DROP30_BRIDGE,B2_EXACT_GLOBAL,150,0.3377777777777778,0.4744444444444444,0.4744444444444444,0.4744444444444444,0.08,0.03333333333333333
OPCODE_CONTEXT,DROP30_BRIDGE,B3_HARD_COMPONENT,150,0.2462962962962963,0.3783333333333333,0.3688888888888889,0.366031746031746,0.02666666666666667,0.0
OPCODE_CONTEXT,DROP30_BRIDGE,B4_SOFT_GRAPH,150,0.2737037037037037,0.28949206349206347,0.5299999999999999,0.370989417989418,0.006666666666666667,0.006666666666666667
OPCODE_STRUCT,BRIDGE,B1_INDEPENDENT,150,0.2614814814814814,0.27523809523809517,0.5733333333333334,0.3697012987012987,0.0,0.0
OPCODE_STRUCT,BRIDGE,B2_EXACT_GLOBAL,150,0.3018518518518519,0.44777777777777783,0.44777777777777783,0.44777777777777783,0.11333333333333333,0.04666666666666667
OPCODE_STRUCT,BRIDGE,B3_HARD_COMPONENT,150,0.22555555555555554,0.54,0.22555555555555554,0.31555555555555553,0.0,0.0
OPCODE_STRUCT,BRIDGE,B4_SOFT_GRAPH,150,0.20444444444444443,0.36499999999999994,0.31555555555555553,0.32650793650793647,0.03333333333333333,0.02666666666666667
OPCODE_STRUCT,CLEAN,B1_INDEPENDENT,150,0.2614814814814814,0.27523809523809517,0.5733333333333334,0.3697012987012987,0.0,0.0
