modality,threshold,components,true_unknown,true_known,macro_f1,unknown_precision,unknown_recall,unknown_f1,known_f1,accuracy
CODE_BINARY,0.1640625,900,548,352,0.7850678733031673,0.8792372881355932,0.7572992700729927,0.8137254901960783,0.7564102564102564,0.7888888888888889
CODE_BINARY,0.1653645858168602,900,548,352,0.7850678733031673,0.8792372881355932,0.7572992700729927,0.8137254901960783,0.7564102564102564,0.7888888888888889
CODE_BINARY,0.1666666716337204,900,548,352,0.7776052361235326,0.8774193548387097,0.7445255474452555,0.805528134254689,0.749682337992376,0.7811111111111111
CODE_BINARY,0.16796875,900,548,352,0.7776052361235326,0.8774193548387097,0.7445255474452555,0.805528134254689,0.749682337992376,0.7811111111111111
CODE_BINARY,0.1692708283662796,900,548,352,0.7722763347763348,0.8760869565217392,0.7354014598540146,0.7996031746031745,0.744949494949495,0.7755555555555556
CODE_BINARY,0.1705729141831398,900,548,352,0.7722763347763348,0.8760869565217392,0.7354014598540146,0.7996031746031745,0.744949494949495,0.7755555555555556
CODE_BINARY,0.171875,900,548,352,0.7669475888520136,0.8747252747252747,0.7262773722627737,0.7936191425722832,0.740276035131744,0.77
CODE_BINARY,0.1731770858168602,900,548,352,0.7669475888520136,0.8747252747252747,0.7262773722627737,0.7936191425722832,0.740276035131744,0.77
CODE_BINARY,0.1744791716337204,900,548,352,0.7665544332210998,0.8846153846153846,0.7135036496350365,0.7898989898989899,0.7432098765432099,0.7688888888888888
CODE_BINARY,0.17578125,900,548,352,0.7665544332210998,0.8846153846153846,0.7135036496350365,0.7898989898989899,0.7432098765432099,0.7688888888888888
CODE_BINARY,0.1770833283662796,900,548,352,0.7647134982247695,0.8894009216589862,0.7043795620437956,0.7861507128309572,0.7432762836185819,0.7666666666666667
CODE_BINARY,0.1783854141831398,900,548,352,0.7647134982247695,0.8894009216589862,0.7043795620437956,0.7861507128309572,0.7432762836185819,0.7666666666666667
CODE_BINARY,0.1796875,900,548,352,0.7542338799767639,0.8923444976076556,0.6806569343065694,0.7722567287784678,0.73621103117506,0.7555555555555555
CODE_BINARY,0.1809895858168602,900,548,352,0.7542338799767639,0.8923444976076556,0.6806569343065694,0.7722567287784678,0.73621103117506,0.7555555555555555
CODE_BINARY,0.1822916716337204,900,548,352,0.7480478040272713,0.8985148514851485,0.6624087591240876,0.7626050420168067,0.7334905660377359,0.7488888888888889
CODE_BINARY,0.18359375,900,548,352,0.7480478040272713,0.8985148514851485,0.6624087591240876,0.7626050420168067,0.7334905660377359,0.7488888888888889
CODE_BINARY,0.1848958283662796,900,548,352,0.7362678124323823,0.9018087855297158,0.6368613138686131,0.746524064171123,0.7260115606936415,0.7366666666666667
CODE_BINARY,0.1861979141831398,900,548,352,0.7362678124323823,0.9018087855297158,0.6368613138686131,0.746524064171123,0.7260115606936415,0.7366666666666667
CODE_BINARY,0.1875,900,548,352,0.7220561421886658,0.8983957219251337,0.6131386861313869,0.7288503253796095,0.7152619589977222,0.7222222222222222
CODE_BINARY,0.1888020858168602,900,548,352,0.7220561421886658,0.8983957219251337,0.6131386861313869,0.7288503253796095,0.7152619589977222,0.7222222222222222
