concurrency,request_index,query_id,success,client_latency_ms,search_ms,reconstruction_ms,server_total_ms,error
1,152,Q6K00356,True,14.7705,11.239,1.158,12.4078,
1,153,Q6K00303,True,30.6394,10.9879,1.0526,12.0479,
1,154,Q6K00239,True,31.0396,10.946,0.9599,11.9141,
1,155,Q6K00394,True,31.9312,11.1709,0.9558,12.1353,
1,156,Q6K00213,True,30.6681,11.2866,0.9653,12.2594,
1,157,Q6K00454,True,14.0489,11.097,1.064,12.1674,
1,158,Q6K00198,True,14.074,11.0843,1.1693,12.2632,
1,159,Q6K00390,True,35.3701,11.827,1.1327,12.9673,
1,160,Q6K00523,True,29.4992,11.2995,0.9224,12.2296,
1,161,Q6K00524,True,32.141,11.6852,1.1577,12.8509,
1,162,Q6K00337,True,30.8622,11.6829,1.1413,12.8315,
1,163,Q6K00341,True,30.4465,10.9037,0.9749,11.8862,
1,164,Q6K00303,True,31.5099,10.9364,1.1267,12.0709,
1,165,Q6K00472,True,13.828,10.9644,0.9702,11.9414,
1,166,Q6K00346,True,32.3181,11.0906,1.0377,12.1362,
1,167,Q6K00382,True,13.913,11.0805,0.9901,12.0776,
1,168,Q6K00384,True,33.1064,10.9808,0.9839,11.9733,
1,169,Q6K00426,True,36.639,15.9541,1.2756,17.2378,
1,170,Q6K00468,True,16.6052,12.139,1.3908,13.5443,
1,171,Q6K00493,True,29.3307,22.4865,2.8752,25.3931,
1,172,Q6K00300,True,24.9115,19.3983,2.2079,21.6233,
1,173,Q6K00335,True,36.9584,15.2677,1.4293,16.7097,
1,174,Q6K00471,True,17.891,12.9174,1.7153,14.6551,
1,175,Q6K00470,True,17.8515,13.9347,1.376,15.3196,
1,176,Q6K00402,True,38.182,12.2219,1.0835,13.3146,
1,177,Q6K00365,True,14.9128,11.497,1.0077,12.5123,
1,178,Q6K00462,True,29.7138,11.3673,1.0896,12.4664,
1,179,Q6K00243,True,15.63,11.8729,1.2466,13.1331,
1,180,Q6K00239,True,30.429,11.0469,0.9792,12.0338,
1,181,Q6K00512,True,14.1613,11.1104,1.1203,12.2368,
1,182,Q6K00190,True,14.4057,11.5196,1.0865,12.6141,
1,183,Q6K00501,True,14.1193,11.5002,0.9259,12.4346,
1,184,Q6K00453,True,13.8999,11.1925,0.9819,12.1818,
1,185,Q6K00201,True,34.2111,11.4564,1.0349,12.4998,
1,186,Q6K00346,True,30.0731,11.2495,1.0408,12.2974,
1,187,Q6K00299,True,13.7406,10.8716,1.0662,11.9479,
1,188,Q6K00462,True,14.3599,10.9312,0.9932,11.9304,
1,189,Q6K00486,True,13.5718,10.8982,0.9516,11.8581,
1,190,Q6K00411,True,36.0398,10.5947,1.0798,11.6814,
1,191,Q6K00538,True,30.9449,10.7155,1.0167,11.74,
1,192,Q6K00196,True,32.4842,10.6981,1.2134,11.9188,
1,193,Q6K00410,True,31.4009,11.4122,0.9729,12.3925,
1,194,Q6K00466,True,32.161,11.4295,1.0547,12.4919,
1,195,Q6K00478,True,14.1158,11.1267,0.9821,12.1164,
1,196,Q6K00223,True,15.1174,12.2482,1.0553,13.3107,
1,197,Q6K00182,True,31.6734,11.2596,1.0421,12.3092,
1,198,Q6K00408,True,14.0668,10.8741,0.9704,11.8528,
1,199,Q6K00276,True,32.0547,10.7157,1.2189,11.9422,
1,200,Q6K00364,True,13.5041,10.9278,0.9488,11.8828,
1,201,Q6K00192,True,33.4969,11.1452,1.0013,12.1541,
1,202,Q6K00202,True,30.7694,11.7384,0.9875,12.7346,
1,203,Q6K00295,True,31.7282,11.877,1.0889,12.974,
1,204,Q6K00526,True,14.8217,11.6832,0.982,12.6742,
1,205,Q6K00418,True,14.5919,11.5473,1.0117,12.5665,
1,206,Q6K00467,True,31.7588,11.3873,1.0697,12.4671,
1,207,Q6K00249,True,14.1091,10.9256,1.1313,12.0667,
1,208,Q6K00331,True,14.1485,10.5243,1.0021,11.5327,
1,209,Q6K00513,True,34.2627,11.2419,1.4722,12.734,
1,210,Q6K00278,True,30.3327,11.2055,1.0083,12.2223,
1,211,Q6K00326,True,15.052,11.9439,0.9749,12.9256,
1,212,Q6K00477,True,14.9942,12.0547,1.0635,13.1266,
1,213,Q6K00386,True,14.8094,11.7266,1.1568,12.8927,
1,214,Q6K00305,True,16.1168,12.634,1.2946,13.938,
1,215,Q6K00231,True,16.8586,13.4281,1.2579,14.6966,
1,216,Q6K00277,True,17.7869,13.7359,1.2608,15.0054,
1,217,Q6K00531,True,16.2501,12.2782,1.1448,13.4329,
1,218,Q6K00353,True,15.2628,11.6395,1.4885,13.1366,
1,219,Q6K00286,True,27.6444,11.7833,1.1128,12.9041,
1,220,Q6K00306,True,14.1755,10.97,1.1608,12.1404,
1,221,Q6K00525,True,31.9373,10.5218,1.0967,11.6258,
1,222,Q6K00461,True,13.1225,10.4859,0.9605,11.4529,
1,223,Q6K00349,True,34.2113,10.7225,1.0821,11.812,
1,224,Q6K00475,True,30.5397,9.6318,1.1048,10.7438,
1,225,Q6K00195,True,13.3362,10.4978,1.0193,11.5247,
1,226,Q6K00262,True,33.5772,10.6629,1.064,11.7338,
1,227,Q6K00319,True,36.2065,15.2198,1.2381,16.4775,
1,228,Q6K00469,True,32.108,14.9677,1.77,16.7498,
1,229,Q6K00350,True,29.3901,13.1978,1.361,14.5851,
1,230,Q6K00256,True,18.4267,13.5556,1.5539,15.1281,
1,231,Q6K00236,True,17.576,13.3981,1.564,14.9914,
1,232,Q6K00527,True,37.1501,11.6272,1.0704,12.7079,
1,233,Q6K00334,True,15.1919,11.91,1.2058,13.1242,
1,234,Q6K00197,True,21.2421,17.6164,1.3526,18.9771,
1,235,Q6K00432,True,27.353,11.8555,1.0051,12.8702,
1,236,Q6K00414,True,16.0126,12.5026,1.1143,13.6335,
1,237,Q6K00421,True,33.8045,13.6532,1.2646,14.9297,
1,238,Q6K00387,True,15.4683,11.4882,1.2794,12.7898,
1,239,Q6K00462,True,17.7726,14.243,1.2271,15.4821,
1,240,Q6K00402,True,42.0529,23.8732,3.2554,27.2035,
1,241,Q6K00431,True,40.6913,19.6682,2.5947,22.2783,
1,242,Q6K00292,True,36.8236,12.1557,1.1791,13.3428,
1,243,Q6K00355,True,14.8536,11.3175,1.1459,12.4713,
1,244,Q6K00389,True,14.8899,11.5837,1.0481,12.6392,
1,245,Q6K00461,True,33.2502,12.5384,1.1708,13.7165,
1,246,Q6K00329,True,15.1782,12.0187,1.1279,13.1569,
1,247,Q6K00187,True,15.0903,11.7394,1.148,12.8954,
1,248,Q6K00319,True,14.6154,11.5534,1.1233,12.6849,
1,249,Q6K00246,True,15.3694,11.917,1.2181,13.1495,
1,250,Q6K00353,True,31.488,11.0167,1.1695,12.1981,
1,251,Q6K00393,True,13.9719,10.765,0.9216,11.6937,
1,252,Q6K00237,True,31.4917,10.7609,0.9453,11.7125,
1,253,Q6K00352,True,13.2018,10.3312,0.9527,11.2891,
1,254,Q6K00283,True,33.1832,11.0195,0.9675,11.9932,
1,255,Q6K00533,True,30.7953,11.0005,0.9167,11.9242,
1,256,Q6K00417,True,13.9217,11.0848,0.9828,12.0839,
1,257,Q6K00515,True,14.3393,11.589,0.9037,12.5027,
1,258,Q6K00336,True,34.7703,10.9217,1.1079,12.0394,
1,259,Q6K00404,True,14.0365,10.8277,1.1195,11.955,
1,260,Q6K00512,True,13.9153,10.9068,1.0941,12.0113,
1,261,Q6K00458,True,13.7234,10.8274,0.8644,11.6979,
1,262,Q6K00302,True,13.9969,11.2597,1.0239,12.2901,
1,263,Q6K00494,True,13.8175,11.1709,0.9476,12.1257,
1,264,Q6K00292,True,37.5347,11.2382,1.0161,12.2619,
1,265,Q6K00261,True,31.3188,11.2615,1.1267,12.3954,
1,266,Q6K00380,True,37.1154,11.9419,22.7009,34.6506,
1,267,Q6K00516,True,23.6347,11.1898,1.0135,12.2106,
1,268,Q6K00456,True,14.2213,10.9326,1.0499,11.9888,
1,269,Q6K00287,True,14.0888,10.7328,1.0831,11.8239,
1,270,Q6K00329,True,34.0048,11.0637,1.1028,12.1743,
1,271,Q6K00504,True,13.7795,10.5631,0.9689,11.5383,
1,272,Q6K00418,True,13.772,11.0556,0.9746,12.0364,
1,273,Q6K00499,True,13.7805,11.1438,0.9837,12.1346,
1,274,Q6K00236,True,36.175,10.854,1.02,11.8821,
1,275,Q6K00435,True,14.8021,11.9725,0.9765,12.9571,
1,276,Q6K00385,True,16.6863,13.09,1.0348,14.1353,
1,277,Q6K00369,True,15.545,12.2805,1.0423,13.3313,
1,278,Q6K00416,True,14.2791,11.4655,0.9508,12.4242,
1,279,Q6K00249,True,33.7131,11.5761,1.0471,12.632,
