query_id,parent_count,condition,method,cut_edges,component_accuracy,parent_precision,parent_recall,parent_f1,parent_set_exact,component_set_exact
Q0059,2,CLEAN,F2_FUSED_HIERARCHICAL,0,0.5,0.5,0.5,0.5,False,False
Q0059,2,CLEAN,ORACLE_FUSED_PARENTSET,0,0.5,1.0,1.0,1.0,True,False
Q0059,2,DROP30,F1_FUSED_GLOBAL,0,0.5,0.5,0.5,0.5,False,False
Q0059,2,DROP30,F2_FUSED_HIERARCHICAL,0,0.5,0.5,0.5,0.5,False,False
Q0059,2,DROP30,ORACLE_FUSED_PARENTSET,0,0.5,1.0,1.0,1.0,True,False
Q0059,2,BRIDGE,F1_FUSED_GLOBAL,0,0.5,0.5,0.5,0.5,False,False
Q0059,2,BRIDGE,F2_FUSED_HIERARCHICAL,4,0.5,0.5,0.5,0.5,False,False
Q0059,2,BRIDGE,ORACLE_FUSED_PARENTSET,0,0.5,1.0,1.0,1.0,True,False
Q0059,2,DROP30_BRIDGE,F1_FUSED_GLOBAL,0,0.5,0.5,0.5,0.5,False,False
Q0059,2,DROP30_BRIDGE,F2_FUSED_HIERARCHICAL,2,0.5,0.5,0.5,0.5,False,False
Q0059,2,DROP30_BRIDGE,ORACLE_FUSED_PARENTSET,0,0.5,1.0,1.0,1.0,True,False
Q0005,2,CLEAN,F1_FUSED_GLOBAL,0,1.0,1.0,1.0,1.0,True,True
Q0005,2,CLEAN,F2_FUSED_HIERARCHICAL,0,1.0,1.0,1.0,1.0,True,True
Q0005,2,CLEAN,ORACLE_FUSED_PARENTSET,0,1.0,1.0,1.0,1.0,True,True
Q0005,2,DROP30,F1_FUSED_GLOBAL,0,1.0,1.0,1.0,1.0,True,True
Q0005,2,DROP30,F2_FUSED_HIERARCHICAL,0,1.0,1.0,1.0,1.0,True,True
Q0005,2,DROP30,ORACLE_FUSED_PARENTSET,0,1.0,1.0,1.0,1.0,True,True
Q0005,2,BRIDGE,F1_FUSED_GLOBAL,0,1.0,1.0,1.0,1.0,True,True
Q0005,2,BRIDGE,F2_FUSED_HIERARCHICAL,3,1.0,1.0,1.0,1.0,True,True
Q0005,2,BRIDGE,ORACLE_FUSED_PARENTSET,3,1.0,1.0,1.0,1.0,True,True
Q0005,2,DROP30_BRIDGE,F1_FUSED_GLOBAL,0,1.0,1.0,1.0,1.0,True,True
Q0005,2,DROP30_BRIDGE,F2_FUSED_HIERARCHICAL,2,1.0,1.0,1.0,1.0,True,True
Q0005,2,DROP30_BRIDGE,ORACLE_FUSED_PARENTSET,2,1.0,1.0,1.0,1.0,True,True
Q0065,2,CLEAN,F1_FUSED_GLOBAL,0,1.0,1.0,1.0,1.0,True,True
Q0065,2,CLEAN,F2_FUSED_HIERARCHICAL,0,1.0,1.0,1.0,1.0,True,True
Q0065,2,CLEAN,ORACLE_FUSED_PARENTSET,0,1.0,1.0,1.0,1.0,True,True
Q0065,2,DROP30,F1_FUSED_GLOBAL,0,1.0,1.0,1.0,1.0,True,True
