fresh_id,frozen_split,version_id,version_number,jar_filename,code_nodes,class_ref_edges,connected_components,largest_component_size,largest_component_rate,hard_code_nodes,strict_code_nodes,max_hard_in_one_component,max_strict_in_one_component,hard_coverage_by_best_component,strict_coverage_by_best_component,best_hard_component_size,best_hard_connector_count,eligible_hard_h3,eligible_hard_h5,eligible_hard_h10,eligible_strict_h3,eligible_strict_h5
FMOD0082,CALIBRATION_KNOWN,qGdCrL3t,1.1.15,Luckys-Cozyhome-Refurnished-1.1.15.jar,172,517,7,164,0.9534883720930233,25,17,25,17,1.0,1.0,164,139,True,True,True,True,True
FMOD0082,CALIBRATION_KNOWN,A5r1znx6,1.1.14,Luckys-Cozyhome-Refurnished-1.1.14.jar,171,512,7,163,0.9532163742690059,34,17,34,17,1.0,1.0,163,129,True,True,True,True,True
FMOD0082,CALIBRATION_KNOWN,Z78935kR,1.1.13,Luckys-Cozyhome-Refurnished-1.1.13.jar,171,512,7,163,0.9532163742690059,35,17,35,17,1.0,1.0,163,128,True,True,True,True,True
FMOD0083,TEST_KNOWN,a8rLMe2T,0.1.11,accessories_compat_layer-fabric-0.1.11+1.21.1.jar,156,250,22,126,0.8076923076923077,1,0,1,0,1.0,0.0,126,125,False,False,False,False,False
FMOD0083,TEST_KNOWN,OkGF8Kho,0.1.10,accessories_compat_layer-fabric-0.1.10+1.21.1.jar,149,230,22,118,0.7919463087248322,28,0,26,0,0.9285714285714286,0.0,118,92,True,True,True,False,False
FMOD0083,TEST_KNOWN,1HttX0dS,0.1.9,accessories_compat_layer-fabric-0.1.9+1.21.1.jar,147,226,23,115,0.782312925170068,35,2,29,2,0.8285714285714286,1.0,115,86,True,True,True,False,False
FMOD0084,UNKNOWN_HELDOUT,S05ir9dj,1.12.2,Ping-Wheel-1.12.2-fabric-1.21.1.jar,61,177,1,61,1.0,61,2,61,2,1.0,1.0,61,0,True,True,True,False,False
FMOD0084,UNKNOWN_HELDOUT,J96qMveQ,1.12.1,Ping-Wheel-1.12.1-fabric-26.1.2.jar,59,184,1,59,1.0,8,0,8,0,1.0,0.0,59,51,True,True,False,False,False
FMOD0084,UNKNOWN_HELDOUT,qKSZr74f,1.12.1,Ping-Wheel-1.12.1-fabric-26.1.1.jar,59,184,1,59,1.0,8,0,8,0,1.0,0.0,59,51,True,True,False,False,False
FMOD0085,UNKNOWN_HELDOUT,SuzEDJFj,7.0.0,notreepunching-fabric-1.20-7.0.0.jar,127,340,17,111,0.8740157480314961,9,2,9,2,1.0,1.0,111,102,True,True,False,False,False
FMOD0085,UNKNOWN_HELDOUT,PxUMu8BC,6.0.0,notreepunching-fabric-1.19.2-6.0.0.jar,126,343,18,109,0.8650793650793651,67,4,66,3,0.9850746268656716,0.75,109,43,True,True,True,True,False
FMOD0085,UNKNOWN_HELDOUT,krwZeaSE,5.1.0,notreepunching-fabric-1.18.2-5.1.0.jar,126,339,18,109,0.8650793650793651,75,5,74,4,0.9866666666666667,0.8,109,35,True,True,True,True,False
FMOD0086,TEST_KNOWN,CVeqqBLA,1.1.11+26.1.2,config-editor-1.1.11+26.1.2.jar,63,134,7,54,0.8571428571428571,10,0,10,0,1.0,0.0,54,44,True,True,True,False,False
FMOD0086,TEST_KNOWN,dU1doC63,1.1.11+26.1.2,config-editor-1.1.11+26.1.2.jar,63,134,7,54,0.8571428571428571,10,0,10,0,1.0,0.0,54,44,True,True,True,False,False
FMOD0086,TEST_KNOWN,VxmUBIb6,1.1.11+26.1,config-editor-1.1.11+26.1.jar,63,134,7,54,0.8571428571428571,10,0,10,0,1.0,0.0,54,44,True,True,True,False,False
FMOD0087,TEST_KNOWN,dqBlloWg,0.12.1,ductwork-0.12.1.jar,48,109,2,46,0.9583333333333334,5,0,5,0,1.0,0.0,46,41,True,True,False,False,False
FMOD0087,TEST_KNOWN,NK7mfZ9O,0.12.0,ductwork-0.12.0.jar,48,109,2,46,0.9583333333333334,5,0,5,0,1.0,0.0,46,41,True,True,False,False,False
FMOD0087,TEST_KNOWN,IvA7ptS8,0.12.0-alpha.1,ductwork-0.12.0-alpha.1.jar,48,109,2,46,0.9583333333333334,5,0,5,0,1.0,0.0,46,41,True,True,False,False,False
FMOD0088,UNKNOWN_HELDOUT,RgU0QtLO,1.0.13,NoRefreshScroll-1.0.13.jar,4,1,3,2,0.5,1,0,1,0,1.0,0.0,2,1,False,False,False,False,False
FMOD0088,UNKNOWN_HELDOUT,O7R7iAnP,1.0.13,NoRefreshScroll-1.0.13.jar,4,1,3,2,0.5,4,2,2,2,0.5,1.0,2,0,False,False,False,False,False
FMOD0088,UNKNOWN_HELDOUT,m90jzeq8,1.0.13,NoRefreshScroll-1.21.10-1.0.13.jar,4,1,3,2,0.5,4,2,2,2,0.5,1.0,2,0,False,False,False,False,False
FMOD0089,TEST_KNOWN,qHW7wfGd,26.1.0,StrawStatues-v26.1.0-mc26.1.x-Fabric.jar,58,164,1,58,1.0,7,0,7,0,1.0,0.0,58,51,True,True,False,False,False
FMOD0089,TEST_KNOWN,NglexoWN,21.11.0,StrawStatues-v21.11.0-mc1.21.11-Fabric.jar,55,152,1,55,1.0,55,53,55,53,1.0,1.0,55,0,True,True,True,True,True
FMOD0089,TEST_KNOWN,MrweWZ20,21.10.2,StrawStatues-v21.10.2+mc1.21.10-Fabric.jar,57,148,2,56,0.9824561403508771,57,55,56,54,0.9824561403508771,0.9818181818181818,56,0,True,True,True,True,True
FMOD0090,UNKNOWN_HELDOUT,mroD9G2a,0.1.3,sneakyqol-0.1.3.jar,21,24,3,19,0.9047619047619048,21,19,19,17,0.9047619047619048,0.8947368421052632,19,0,True,True,True,True,True
FMOD0090,UNKNOWN_HELDOUT,mSdG9nSG,0.1.2,sneakyqol-0.1.2.jar,20,24,2,19,0.95,20,18,19,17,0.95,0.9444444444444444,19,0,True,True,True,True,True
FMOD0090,UNKNOWN_HELDOUT,RAlE2UQT,0.1.1,sneakyqol-0.1.1.jar,22,28,2,21,0.9545454545454546,22,20,21,19,0.9545454545454546,0.95,21,0,True,True,True,True,True
FMOD0092,UNKNOWN_HELDOUT,LR1jneCC,1.0.1+MC1.20.6,title-fix-1.0.1+MC1.20.6.jar,1,0,1,1,1.0,1,0,1,0,1.0,0.0,1,0,False,False,False,False,False
