alpha,lambda,mean_parent_set_f1,mean_k_accuracy,mean_component_accuracy,known_component_accuracy,known_parent_set_f1,known_parent_set_exact,known_k_accuracy,known_k_mae,known_false_unknown_rate,pseudo_component_accuracy,pseudo_parent_set_f1,pseudo_parent_set_exact,pseudo_k_accuracy,pseudo_k_mae,pseudo_unknown_precision,pseudo_unknown_recall,pseudo_unknown_f1,pseudo_unknown_known_macro_f1
0.25,0.2,0.808915343915344,0.4305555555555555,0.7833333333333333,0.746031746031746,0.7629629629629631,0.17777777777777778,0.28888888888888886,0.8055555555555556,0.21428571428571427,0.8206349206349206,0.8548677248677249,0.5111111111111111,0.5722222222222222,0.5111111111111111,0.8722580645161291,0.8644501278772379,0.8683365446371226,0.8277300584037119
0.25,0.25,0.8095238095238095,0.4305555555555555,0.7833333333333333,0.746031746031746,0.7637037037037039,0.17777777777777778,0.2833333333333333,0.8111111111111111,0.21428571428571427,0.8206349206349206,0.8553439153439153,0.5166666666666667,0.5777777777777777,0.5055555555555555,0.8722580645161291,0.8644501278772379,0.8683365446371226,0.8277300584037119
0.25,0.3,0.8098015873015874,0.4305555555555555,0.7833333333333333,0.746031746031746,0.7637037037037039,0.17777777777777778,0.2833333333333333,0.8111111111111111,0.21428571428571427,0.8206349206349206,0.8558994708994709,0.5166666666666667,0.5777777777777777,0.5,0.8722580645161291,0.8644501278772379,0.8683365446371226,0.8277300584037119
0.25,0.35,0.8098015873015874,0.4305555555555555,0.7833333333333333,0.746031746031746,0.7637037037037039,0.17777777777777778,0.2833333333333333,0.8111111111111111,0.21428571428571427,0.8206349206349206,0.8558994708994709,0.5166666666666667,0.5777777777777777,0.5,0.8722580645161291,0.8644501278772379,0.8683365446371226,0.8277300584037119
0.25,0.4,0.8098015873015874,0.4305555555555555,0.7833333333333333,0.746031746031746,0.7637037037037039,0.17777777777777778,0.2833333333333333,0.8111111111111111,0.21428571428571427,0.8206349206349206,0.8558994708994709,0.5166666666666667,0.5777777777777777,0.5,0.8722580645161291,0.8644501278772379,0.8683365446371226,0.8277300584037119
0.25,0.45,0.8098015873015874,0.4305555555555555,0.7833333333333333,0.746031746031746,0.7637037037037039,0.17777777777777778,0.2833333333333333,0.8111111111111111,0.21428571428571427,0.8206349206349206,0.8558994708994709,0.5166666666666667,0.5777777777777777,0.5,0.8722580645161291,0.8644501278772379,0.8683365446371226,0.8277300584037119
0.25,0.5,0.8098015873015874,0.4305555555555555,0.7833333333333333,0.746031746031746,0.7637037037037039,0.17777777777777778,0.2833333333333333,0.8111111111111111,0.21428571428571427,0.8206349206349206,0.8558994708994709,0.5166666666666667,0.5777777777777777,0.5,0.8722580645161291,0.8644501278772379,0.8683365446371226,0.8277300584037119
0.25,0.55,0.8098015873015874,0.4305555555555555,0.7833333333333333,0.746031746031746,0.7637037037037039,0.17777777777777778,0.2833333333333333,0.8111111111111111,0.21428571428571427,0.8206349206349206,0.8558994708994709,0.5166666666666667,0.5777777777777777,0.5,0.8722580645161291,0.8644501278772379,0.8683365446371226,0.8277300584037119
0.25,0.6,0.8098015873015874,0.4305555555555555,0.7833333333333333,0.746031746031746,0.7637037037037039,0.17777777777777778,0.2833333333333333,0.8111111111111111,0.21428571428571427,0.8206349206349206,0.8558994708994709,0.5166666666666667,0.5777777777777777,0.5,0.8722580645161291,0.8644501278772379,0.8683365446371226,0.8277300584037119
0.25,0.65,0.8098015873015874,0.4305555555555555,0.7833333333333333,0.746031746031746,0.7637037037037039,0.17777777777777778,0.2833333333333333,0.8111111111111111,0.21428571428571427,0.8206349206349206,0.8558994708994709,0.5166666666666667,0.5777777777777777,0.5,0.8722580645161291,0.8644501278772379,0.8683365446371226,0.8277300584037119
