query_id,k_true,true_parent_set,top3_parent_recall,top3_all_true_parents_present,top3_candidate_pool,top4_parent_recall,top4_all_true_parents_present,top4_candidate_pool,top5_parent_recall,top5_all_true_parents_present,top5_candidate_pool,top6_parent_recall,top6_all_true_parents_present,top6_candidate_pool,top8_parent_recall,top8_all_true_parents_present,top8_candidate_pool,top10_parent_recall,top10_all_true_parents_present,top10_candidate_pool
Q6K00022,1,"[""FMOD0002""]",1.0,True,"[""FMOD0002"", ""FMOD0082"", ""FMOD0081""]",1.0,True,"[""FMOD0002"", ""FMOD0082"", ""FMOD0081"", ""FMOD0034""]",1.0,True,"[""FMOD0002"", ""FMOD0082"", ""FMOD0081"", ""FMOD0034"", ""FMOD0063""]",1.0,True,"[""FMOD0002"", ""FMOD0082"", ""FMOD0081"", ""FMOD0034"", ""FMOD0063"", ""FMOD0030""]",1.0,True,"[""FMOD0002"", ""FMOD0082"", ""FMOD0081"", ""FMOD0034"", ""FMOD0063"", ""FMOD0030"", ""FMOD0029"", ""FMOD0065""]",1.0,True,"[""FMOD0002"", ""FMOD0082"", ""FMOD0081"", ""FMOD0034"", ""FMOD0063"", ""FMOD0030"", ""FMOD0029"", ""FMOD0065"", ""FMOD0039"", ""FMOD0052""]"
Q6K00023,1,"[""FMOD0072""]",1.0,True,"[""FMOD0072"", ""FMOD0101"", ""FMOD0081""]",1.0,True,"[""FMOD0072"", ""FMOD0101"", ""FMOD0081"", ""FMOD0082""]",1.0,True,"[""FMOD0072"", ""FMOD0101"", ""FMOD0081"", ""FMOD0082"", ""FMOD0010""]",1.0,True,"[""FMOD0072"", ""FMOD0101"", ""FMOD0081"", ""FMOD0082"", ""FMOD0010"", ""FMOD0039""]",1.0,True,"[""FMOD0072"", ""FMOD0101"", ""FMOD0081"", ""FMOD0082"", ""FMOD0010"", ""FMOD0039"", ""FMOD0029"", ""FMOD0118""]",1.0,True,"[""FMOD0072"", ""FMOD0101"", ""FMOD0081"", ""FMOD0082"", ""FMOD0010"", ""FMOD0039"", ""FMOD0029"", ""FMOD0118"", ""FMOD0112"", ""FMOD0041""]"
Q6K00024,1,"[""FMOD0052""]",1.0,True,"[""FMOD0052"", ""FMOD0029"", ""FMOD0030""]",1.0,True,"[""FMOD0052"", ""FMOD0029"", ""FMOD0030"", ""FMOD0114""]",1.0,True,"[""FMOD0052"", ""FMOD0029"", ""FMOD0030"", ""FMOD0114"", ""FMOD0078""]",1.0,True,"[""FMOD0052"", ""FMOD0029"", ""FMOD0030"", ""FMOD0114"", ""FMOD0078"", ""FMOD0010""]",1.0,True,"[""FMOD0052"", ""FMOD0029"", ""FMOD0030"", ""FMOD0114"", ""FMOD0078"", ""FMOD0010"", ""FMOD0056"", ""FMOD0058""]",1.0,True,"[""FMOD0052"", ""FMOD0029"", ""FMOD0030"", ""FMOD0114"", ""FMOD0078"", ""FMOD0010"", ""FMOD0056"", ""FMOD0058"", ""FMOD0112"", ""FMOD0041""]"
Q6K00025,1,"[""FMOD0002""]",1.0,True,"[""FMOD0002"", ""FMOD0081"", ""FMOD0114""]",1.0,True,"[""FMOD0002"", ""FMOD0081"", ""FMOD0114"", ""FMOD0072""]",1.0,True,"[""FMOD0002"", ""FMOD0081"", ""FMOD0114"", ""FMOD0072"", ""FMOD0065""]",1.0,True,"[""FMOD0002"", ""FMOD0081"", ""FMOD0114"", ""FMOD0072"", ""FMOD0065"", ""FMOD0082""]",1.0,True,"[""FMOD0002"", ""FMOD0081"", ""FMOD0114"", ""FMOD0072"", ""FMOD0065"", ""FMOD0082"", ""FMOD0030"", ""FMOD0034""]",1.0,True,"[""FMOD0002"", ""FMOD0081"", ""FMOD0114"", ""FMOD0072"", ""FMOD0065"", ""FMOD0082"", ""FMOD0030"", ""FMOD0034"", ""FMOD0029"", ""FMOD0039""]"
Q6K00026,1,"[""FMOD0056""]",1.0,True,"[""FMOD0056"", ""FMOD0082"", ""FMOD0081""]",1.0,True,"[""FMOD0056"", ""FMOD0082"", ""FMOD0081"", ""FMOD0029""]",1.0,True,"[""FMOD0056"", ""FMOD0082"", ""FMOD0081"", ""FMOD0029"", ""FMOD0010""]",1.0,True,"[""FMOD0056"", ""FMOD0082"", ""FMOD0081"", ""FMOD0029"", ""FMOD0010"", ""FMOD0030""]",1.0,True,"[""FMOD0056"", ""FMOD0082"", ""FMOD0081"", ""FMOD0029"", ""FMOD0010"", ""FMOD0030"", ""FMOD0026"", ""FMOD0078""]",1.0,True,"[""FMOD0056"", ""FMOD0082"", ""FMOD0081"", ""FMOD0029"", ""FMOD0010"", ""FMOD0030"", ""FMOD0026"", ""FMOD0078"", ""FMOD0112"", ""FMOD0114""]"
Q6K00027,1,"[""FMOD0063""]",1.0,True,"[""FMOD0063"", ""FMOD0029"", ""FMOD0010""]",1.0,True,"[""FMOD0063"", ""FMOD0029"", ""FMOD0010"", ""FMOD0082""]",1.0,True,"[""FMOD0063"", ""FMOD0029"", ""FMOD0010"", ""FMOD0082"", ""FMOD0114""]",1.0,True,"[""FMOD0063"", ""FMOD0029"", ""FMOD0010"", ""FMOD0082"", ""FMOD0114"", ""FMOD0030""]",1.0,True,"[""FMOD0063"", ""FMOD0029"", ""FMOD0010"", ""FMOD0082"", ""FMOD0114"", ""FMOD0030"", ""FMOD0081"", ""FMOD0041""]",1.0,True,"[""FMOD0063"", ""FMOD0029"", ""FMOD0010"", ""FMOD0082"", ""FMOD0114"", ""FMOD0030"", ""FMOD0081"", ""FMOD0041"", ""FMOD0065"", ""FMOD0026""]"
Q6K00028,1,"[""FMOD0072""]",1.0,True,"[""FMOD0072"", ""FMOD0029"", ""FMOD0030""]",1.0,True,"[""FMOD0072"", ""FMOD0029"", ""FMOD0030"", ""FMOD0081""]",1.0,True,"[""FMOD0072"", ""FMOD0029"", ""FMOD0030"", ""FMOD0081"", ""FMOD0041""]",1.0,True,"[""FMOD0072"", ""FMOD0029"", ""FMOD0030"", ""FMOD0081"", ""FMOD0041"", ""FMOD0114""]",1.0,True,"[""FMOD0072"", ""FMOD0029"", ""FMOD0030"", ""FMOD0081"", ""FMOD0041"", ""FMOD0114"", ""FMOD0082"", ""FMOD0010""]",1.0,True,"[""FMOD0072"", ""FMOD0029"", ""FMOD0030"", ""FMOD0081"", ""FMOD0041"", ""FMOD0114"", ""FMOD0082"", ""FMOD0010"", ""FMOD0020"", ""FMOD0112""]"
Q6K00029,1,"[""FMOD0057""]",1.0,True,"[""FMOD0057"", ""FMOD0112"", ""FMOD0056""]",1.0,True,"[""FMOD0057"", ""FMOD0112"", ""FMOD0056"", ""FMOD0114""]",1.0,True,"[""FMOD0057"", ""FMOD0112"", ""FMOD0056"", ""FMOD0114"", ""FMOD0029""]",1.0,True,"[""FMOD0057"", ""FMOD0112"", ""FMOD0056"", ""FMOD0114"", ""FMOD0029"", ""FMOD0065""]",1.0,True,"[""FMOD0057"", ""FMOD0112"", ""FMOD0056"", ""FMOD0114"", ""FMOD0029"", ""FMOD0065"", ""FMOD0082"", ""FMOD0041""]",1.0,True,"[""FMOD0057"", ""FMOD0112"", ""FMOD0056"", ""FMOD0114"", ""FMOD0029"", ""FMOD0065"", ""FMOD0082"", ""FMOD0041"", ""FMOD0078"", ""FMOD0030""]"
Q6K00030,1,"[""FMOD0034""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082"", ""FMOD0065""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082"", ""FMOD0065"", ""FMOD0097""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082"", ""FMOD0065"", ""FMOD0097"", ""FMOD0081""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082"", ""FMOD0065"", ""FMOD0097"", ""FMOD0081"", ""FMOD0030"", ""FMOD0029""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082"", ""FMOD0065"", ""FMOD0097"", ""FMOD0081"", ""FMOD0030"", ""FMOD0029"", ""FMOD0063"", ""FMOD0072""]"
Q6K00031,1,"[""FMOD0097""]",1.0,True,"[""FMOD0097"", ""FMOD0114"", ""FMOD0029""]",1.0,True,"[""FMOD0097"", ""FMOD0114"", ""FMOD0029"", ""FMOD0078""]",1.0,True,"[""FMOD0097"", ""FMOD0114"", ""FMOD0029"", ""FMOD0078"", ""FMOD0056""]",1.0,True,"[""FMOD0097"", ""FMOD0114"", ""FMOD0029"", ""FMOD0078"", ""FMOD0056"", ""FMOD0117""]",1.0,True,"[""FMOD0097"", ""FMOD0114"", ""FMOD0029"", ""FMOD0078"", ""FMOD0056"", ""FMOD0117"", ""FMOD0026"", ""FMOD0082""]",1.0,True,"[""FMOD0097"", ""FMOD0114"", ""FMOD0029"", ""FMOD0078"", ""FMOD0056"", ""FMOD0117"", ""FMOD0026"", ""FMOD0082"", ""FMOD0010"", ""FMOD0081""]"
