condition,parent_count,method,queries,component_accuracy,parent_precision,parent_recall,parent_f1,parent_set_exact,component_set_exact,mean_cut_edges
CLEAN,3,ORACLE_FUSED_PARENTSET,75,0.6725925925925925,1.0,1.0,1.0,1.0,0.17333333333333334,0.72
DROP30,2,F1_FUSED_GLOBAL,75,0.38222222222222224,0.48,0.48,0.48,0.24,0.09333333333333334,0.0
DROP30,3,F1_FUSED_GLOBAL,75,0.35851851851851846,0.5288888888888889,0.5288888888888889,0.5288888888888889,0.05333333333333334,0.013333333333333334,0.0
DROP30,2,F2_FUSED_HIERARCHICAL,75,0.4,0.48,0.48,0.48,0.24,0.12,0.5066666666666667
DROP30,3,F2_FUSED_HIERARCHICAL,75,0.3985185185185185,0.5288888888888889,0.5288888888888889,0.5288888888888889,0.05333333333333334,0.04,1.2533333333333334
DROP30,2,ORACLE_FUSED_PARENTSET,75,0.7444444444444444,1.0,1.0,1.0,1.0,0.36,0.12
DROP30,3,ORACLE_FUSED_PARENTSET,75,0.6622222222222223,1.0,1.0,1.0,1.0,0.08,0.6
DROP30_BRIDGE,2,F1_FUSED_GLOBAL,75,0.38222222222222224,0.48,0.48,0.48,0.24,0.09333333333333334,0.0
DROP30_BRIDGE,3,F1_FUSED_GLOBAL,75,0.35851851851851846,0.5288888888888889,0.5288888888888889,0.5288888888888889,0.05333333333333334,0.013333333333333334,0.0
DROP30_BRIDGE,2,F2_FUSED_HIERARCHICAL,75,0.3933333333333333,0.48,0.48,0.48,0.24,0.14666666666666667,1.6533333333333333
DROP30_BRIDGE,3,F2_FUSED_HIERARCHICAL,75,0.35111111111111104,0.5288888888888889,0.5288888888888889,0.5288888888888889,0.05333333333333334,0.02666666666666667,2.6266666666666665
DROP30_BRIDGE,2,ORACLE_FUSED_PARENTSET,75,0.7244444444444444,1.0,1.0,1.0,1.0,0.30666666666666664,1.12
DROP30_BRIDGE,3,ORACLE_FUSED_PARENTSET,75,0.594074074074074,1.0,1.0,1.0,1.0,0.05333333333333334,2.4266666666666667
