query_id,node_id,modality,code_op3_simhash128,code_struct_simhash128,code_context_simhash128,code_method_count,code_instruction_count,code_major_version,structured_simhash128,structured_token_count,structured_parse_kind,image_ahash64,image_dhash64,image_phash64,image_hist16,image_width,image_height,image_frames
Q11A0161,Q11A0161_N05,CODE_BINARY,a5a6c91aaaf4cc1c0906dd4dc6c34aaf,379ecdde438d3760aaa40825d7c315e1,e62375bc87d899e91d280db3ef720d19,7,311,69,,,,,,,,,,
Q11A0161,Q11A0161_N06,STRUCTURED,,,,,,,2fc51f9feebdd2ce945275ee19634170,80,JSON,,,,,,,
Q11A0161,Q11A0161_N07,IMAGE,,,,,,,,,,0000060e1c386040,02040b23069d3068,133e61cb1af20cf9,"8867,195,0,156,430,273,78,0,0,0,0,0,0,0,0,0",16,16,1
Q11A0162,Q11A0162_N01,CODE_BINARY,89b342141434a4fcd40ef73ca5ec4a7b,359a83df419e7f01aace6890978235e9,6236f4bc447a8f47123b0d9fca32215d,6,101,61,,,,,,,,,,
Q11A0162,Q11A0162_N02,CODE_BINARY,54ae45e21f271468cfa8c21c79cdd9d4,579a8dee471ffe618e6649a2778a158d,7223f21c5d0120b7313b5ebe2fb22b59,32,1522,65,,,,,,,,,,
Q11A0162,Q11A0162_N03,CODE_BINARY,8b97ffbe55605055fcb73e3e7af76b77,d3b084fdc70effc3eec7ff82f2f8ba0f,ebf5cad9aba5f0f1c60afcaef8f23e41,2,734,65,,,,,,,,,,
Q11A0162,Q11A0162_N04,CODE_BINARY,e1543c4a6efe96d45d73fd81885979e0,139309de419db7308ec47980d7a628ac,d184de2e066df9278be2ef1edba7246a,3,21,61,,,,,,,,,,
Q11A0162,Q11A0162_N05,CODE_BINARY,3ec0ab1063a9cdda106feff50d895fce,778a05df439fb7618ac45922d7ba11a9,e32931b423989babd92b8dbf369a299b,12,881,65,,,,,,,,,,
Q11A0162,Q11A0162_N06,STRUCTURED,,,,,,,3f8f6282deaeb4501cdb9e998eb2e7c1,31,JSON,,,,,,,
Q11A0162,Q11A0162_N07,IMAGE,,,,,,,,,,00183c7c66240000,00160f3b33330022,439c3c61e79e9899,"6953,1055,742,0,39,78,156,0,0,625,0,0,352,0,0,0",16,16,1
Q11A0163,Q11A0163_N01,CODE_BINARY,c4bc211682ae46afef80cc1c1bc11bdd,57bbc0fe459f77218ec669a29702378d,0223f4144c48257774387e972ff24dfd,6,184,65,,,,,,,,,,
Q11A0163,Q11A0163_N02,CODE_BINARY,4f5e6fd6312e8148cd5ecb4f39aa5996,179b8b8e438e1f61a68c2890d7821149,a222d7bd0c612337f231bd17683209db,4,105,52,,,,,,,,,,
Q11A0163,Q11A0163_N03,CODE_BINARY,7de73510f2438134cf89642ef185c150,559a05ee419ffe21ae6669a0f6a2358d,7233761c46e2a0ffd933cd972b362b51,53,1876,65,,,,,,,,,,
Q11A0163,Q11A0163_N04,CODE_BINARY,d7ed6fdfbfceeffddbfbc9f7dfbbe6ee,179f37fe619fb6708ac4eb8896a3b88f,fffe9ebee4ff066bfafbef1fbee7f77f,2,5,65,,,,,,,,,,
Q11A0163,Q11A0163_N05,CODE_BINARY,dc00c4dd6624e23d1a2122bcd41541f7,b33ac2be431ed7a32ca25822ff83b7a9,523fe21c4c60a6371b3bdddf6b322bd9,8,324,52,,,,,,,,,,
Q11A0163,Q11A0163_N06,STRUCTURED,,,,,,,2ded309fffbb93cc14427ffe31a3d152,78,JSON,,,,,,,
Q11A0163,Q11A0163_N07,IMAGE,,,,,,,,,,1f1fffffffffffff,9090000000000000,0f0f0f0f0ff0f0f0,"0,0,0,0,0,0,0,0,0,0,0,0,681,0,0,9319",256,256,1
Q11A0164,Q11A0164_N01,CODE_BINARY,a0d35c731c2228e86960cffea87edb9a,56ba869ae79f7f212e446810b78a3fc9,c42e66ee4f48ae7d11a9bd22ebf6468d,4,76,69,,,,,,,,,,
Q11A0164,Q11A0164_N02,CODE_BINARY,c8a6f335962ffe05ed90e52449fa8e68,11bac7de4797ff61ac4668a2ff82358d,33b3d23c4768ea2618394dda3bfc21d9,14,279,61,,,,,,,,,,
Q11A0164,Q11A0164_N03,CODE_BINARY,c6643f8da0db10778d148645f8a10c6a,57a2c5ba459d9720aee45832f7927bad,8273cce629427ef04b0052af82d23910,7,1836,65,,,,,,,,,,
Q11A0164,Q11A0164_N04,CODE_BINARY,0bc90b76a2527e99ed3d644c5085cf57,739a403e429d37c8a8ac183046823dc9,2225e4934d11226eb133cc1e2e3e273d,4,80,69,,,,,,,,,,
Q11A0164,Q11A0164_N05,CODE_BINARY,80816510c673603a78c3e0f7fcd79e36,d5bac6fa679b77e08ed469b295aa388d,4b70c6c61b437df31f081a8fe8d23d99,5,297,61,,,,,,,,,,
Q11A0164,Q11A0164_N06,STRUCTURED,,,,,,,f64edffadee3343e7f834afb7e6d0bc6,7,JSON,,,,,,,
Q11A0164,Q11A0164_N07,IMAGE,,,,,,,,,,b3b1b3b3b3b3b3b3,b898989898989898,2fc3d0c2b1e1adaa,"2,4,5,32,408,1540,3124,2158,2245,451,25,1,2,1,1,0",256,256,1
Q11A0165,Q11A0165_N01,CODE_BINARY,80df64b3f7686aa2ae20c0de4fd690ae,d7b2c8fa469df7e0aee4703096a23aa9,6866ee868f4e6ef1112bb8a0a9f75480,4,108,65,,,,,,,,,,
Q11A0165,Q11A0165_N02,CODE_BINARY,7521f4d0904df962e142717869d26820,d5ba47cf471fffe188e669a2d78b3789,7023921c6480e0a7312fcddf2b3e2355,23,1203,65,,,,,,,,,,
Q11A0165,Q11A0165_N03,CODE_BINARY,9fa06a5292662b1c3f483b75c9efc5ad,b73b839cc31e7f63a9dcee90dfabb2c9,423254c75e62a53736385e3f08770dbf,2,66,61,,,,,,,,,,
Q11A0165,Q11A0165_N04,CODE_BINARY,da6f7ba094e72a35cddb2edd5bbb3960,57028dda439df760aec45810d6a224cd,c227cc8538493ef55a62d6b7e2922d92,5,42,65,,,,,,,,,,
