gallery_scale_projects,concurrency,request_index,query_id,success,client_latency_ms,gallery_components,search_ms,reconstruction_ms,server_total_ms,error
20,4,21,Q6K00324,True,20.9206,16282,16.5732,0.6336,17.2133,
20,4,23,Q6K00346,True,19.4341,16282,14.8495,0.7764,15.6327,
20,4,24,Q6K00523,True,19.5029,16282,15.2713,0.5833,15.8603,
20,4,25,Q6K00235,True,17.1262,16282,12.7047,0.5937,13.3044,
20,4,26,Q6K00214,True,15.8542,16282,12.5412,0.5827,13.1312,
20,4,27,Q6K00481,True,13.4477,16282,10.1624,0.6059,10.7747,
20,4,29,Q6K00298,True,12.2849,16282,9.5319,0.7186,10.2574,
20,4,30,Q6K00374,True,13.3533,16282,10.4533,0.6075,11.0671,
20,4,28,Q6K00384,True,27.4897,16282,10.4923,0.6479,11.1459,
20,4,32,Q6K00326,True,14.7868,16282,9.849,0.8336,10.6883,
20,4,33,Q6K00261,True,13.5988,16282,10.3084,0.7212,11.0353,
20,4,34,Q6K00183,True,15.4009,16282,12.7491,0.7715,13.5285,
20,4,31,Q6K00211,True,34.8635,16282,12.4224,1.0342,13.4704,
20,4,35,Q6K00313,True,18.5062,16282,14.4191,0.6992,15.125,
20,4,36,Q6K00267,True,19.9856,16282,15.4616,0.6747,16.1429,
20,4,37,Q6K00347,True,19.8638,16282,17.19,0.6904,17.8862,
20,4,38,Q6K00342,True,18.4029,16282,14.5957,1.2458,15.8521,
20,4,40,Q6K00323,True,16.415,16282,12.8632,0.6503,13.5206,
20,4,39,Q6K00474,True,19.1295,16282,15.2036,0.569,15.7784,
20,4,41,Q6K00398,True,16.7078,16282,11.5016,0.7256,12.2338,
20,4,43,Q6K00514,True,13.5502,16282,9.7561,0.7247,10.4874,
20,4,44,Q6K00409,True,13.3841,16282,10.7454,0.586,11.3385,
20,4,46,Q6K00394,True,9.7241,16282,5.9839,0.5575,6.5481,
20,4,47,Q6K00375,True,9.9688,16282,6.555,0.6832,7.2448,
20,4,45,Q6K00516,True,28.4491,16282,11.6679,0.6019,12.2779,
20,4,42,Q6K00216,True,43.1201,16282,12.3488,0.7873,13.1438,
20,4,48,Q6K00208,True,18.3928,16282,13.0482,0.604,13.66,
20,4,49,Q6K00455,True,18.382,16282,13.7787,0.6197,14.4042,
20,4,51,Q6K00412,True,13.7604,16282,8.8994,0.6212,9.5277,
20,4,53,Q6K00446,True,15.3408,16282,10.0246,0.6789,10.7116,
20,4,52,Q6K00254,True,16.8462,16282,12.3928,0.596,12.9943,
20,4,50,Q6K00274,True,28.6451,16282,12.0902,0.69,12.7875,
