query_id,node_id,source_fresh_id,source_version_id,source_version_number,source_relative_path,source_component_sha256,expected_outer_class,expected_java_filename,project_id,github_repo,project_resolution_status,github_source_available
Q6K00188,Q6K00188_N06,FMOD0001,vSbgx9lF,26.2-fabric-1.0.1,com/jfyx2025/mixin/InventoryMixin.class,6358443b18f009ca298d28768508540426925d1a271773d70b513d52fac1caed,InventoryMixin,InventoryMixin.java,ou65sqcG,,NO_SOURCE_URL,False
Q6K00188,Q6K00188_N07,FMOD0001,vSbgx9lF,26.2-fabric-1.0.1,com/jfyx2025/mixin/SwapHandMixin.class,9b63ea3d819019525acb21105efdb7d6bc06c6805c160c92f6f408fd7574ebf0,SwapHandMixin,SwapHandMixin.java,ou65sqcG,,NO_SOURCE_URL,False
Q6K00189,Q6K00189_N01,FMOD0087,IvA7ptS8,0.12.0-alpha.1,net/gnomecraft/ductwork/data/DuctworkItemTagProvider.class,c4c0b0b4d039a0894c86a43dce2d8e46c0373d2a97349188d7ee09abead5df3c,DuctworkItemTagProvider,DuctworkItemTagProvider.java,E5Qy8rmu,https://github.com/gniftygnome/ductwork,GITHUB_SOURCE,True
Q6K00189,Q6K00189_N02,FMOD0087,IvA7ptS8,0.12.0-alpha.1,net/gnomecraft/ductwork/data/DuctworkRecipeProvider$1.class,e2a9b7345753f3d8eda7e1833f11cf0229f943242a48368065e926d529007c78,DuctworkRecipeProvider,DuctworkRecipeProvider.java,E5Qy8rmu,https://github.com/gniftygnome/ductwork,GITHUB_SOURCE,True
Q6K00189,Q6K00189_N04,FMOD0087,IvA7ptS8,0.12.0-alpha.1,net/gnomecraft/ductwork/data/DuctworkBlockTagProvider.class,a25f54cfbcb659481a1375b3d1d261f4ce8e84e3fb4b50c5164a1c379ee694d8,DuctworkBlockTagProvider,DuctworkBlockTagProvider.java,E5Qy8rmu,https://github.com/gniftygnome/ductwork,GITHUB_SOURCE,True
Q6K00189,Q6K00189_N05,FMOD0087,IvA7ptS8,0.12.0-alpha.1,net/gnomecraft/ductwork/Ductwork.class,27530de17bf71f3c7bb3dc7f40f8f4c866d48b985f62701c4d0bb2c00008c1e3,Ductwork,Ductwork.java,E5Qy8rmu,https://github.com/gniftygnome/ductwork,GITHUB_SOURCE,True
Q6K00189,Q6K00189_N07,FMOD0087,IvA7ptS8,0.12.0-alpha.1,net/gnomecraft/ductwork/mixin/MixinItemUse.class,e35f36bf791d7d1f7d18f43bb6858e6a55515d5d599febbf32362ebe5418ac36,MixinItemUse,MixinItemUse.java,E5Qy8rmu,https://github.com/gniftygnome/ductwork,GITHUB_SOURCE,True
Q6K00190,Q6K00190_N01,FMOD0050,8iqsxqzA,A0.3H1,eu/stefanbraun612/smartautomine/client/AutoMineLogic.class,7adf6ce6e032b0c9b5b9c07989e17ef15d3134bdce8578e13307f7bf5fd53e13,AutoMineLogic,AutoMineLogic.java,IvNJRZCq,https://github.com/StefanBraun2001/smart-auto-mine,GITHUB_SOURCE,True
Q6K00190,Q6K00190_N02,FMOD0050,8iqsxqzA,A0.3H1,eu/stefanbraun612/smartautomine/client/config/SmartAutoMineConfig$FeedbackMode.class,ca7ee7e1ef2430f6e6a2c5ecd022e8d9e3c1a3c98f23e3f02a413791310f243a,SmartAutoMineConfig,SmartAutoMineConfig.java,IvNJRZCq,https://github.com/StefanBraun2001/smart-auto-mine,GITHUB_SOURCE,True
Q6K00190,Q6K00190_N04,FMOD0050,8iqsxqzA,A0.3H1,eu/stefanbraun612/smartautomine/client/SmartAutoMineClient.class,033e6b55cc211cd48d6d8a4d6dc5a1b2005072899a4b89e06407b83a8723f860,SmartAutoMineClient,SmartAutoMineClient.java,IvNJRZCq,https://github.com/StefanBraun2001/smart-auto-mine,GITHUB_SOURCE,True
Q6K00190,Q6K00190_N06,FMOD0050,8iqsxqzA,A0.3H1,eu/stefanbraun612/smartautomine/client/AutoEatLogic.class,90e01f349fe2678cff0cd02c9b921b0576f0bbe61d3004018434cf40b6edb8ec,AutoEatLogic,AutoEatLogic.java,IvNJRZCq,https://github.com/StefanBraun2001/smart-auto-mine,GITHUB_SOURCE,True
Q6K00190,Q6K00190_N07,FMOD0050,8iqsxqzA,A0.3H1,eu/stefanbraun612/smartautomine/client/config/SmartAutoMineConfig.class,df0e238b00871fe09a527f82fd504718d30349aca22d9f3bf5f39af24f463458,SmartAutoMineConfig,SmartAutoMineConfig.java,IvNJRZCq,https://github.com/StefanBraun2001/smart-auto-mine,GITHUB_SOURCE,True
Q6K00191,Q6K00191_N01,FMOD0086,dU1doC63,1.1.11+26.1.2,io/github/zhengzhengyiyi/gui/JsonVisualEditorScreen.class,dddfdfe947a84b9b56d15265ad8cf2e493c4386ba33b5d6ac8df9fb9fe92fac4,JsonVisualEditorScreen,JsonVisualEditorScreen.java,SHXjjvQ7,https://github.com/zhengzhengyiyi/config-editor,GITHUB_SOURCE,True
Q6K00191,Q6K00191_N03,FMOD0086,dU1doC63,1.1.11+26.1.2,io/github/zhengzhengyiyi/NbtSaver.class,dd66a3267e32e61299a43c74310c6bae11aa6fa43cfa7fe14e6e7cb0957990cb,NbtSaver,NbtSaver.java,SHXjjvQ7,https://github.com/zhengzhengyiyi/config-editor,GITHUB_SOURCE,True
Q6K00191,Q6K00191_N04,FMOD0086,dU1doC63,1.1.11+26.1.2,io/github/zhengzhengyiyi/hud/EntityOverlayHudElement.class,4f6e225d5e7127400cdde9710305abca32ebdd02b783c9f26d658b3d3f644de3,EntityOverlayHudElement,EntityOverlayHudElement.java,SHXjjvQ7,https://github.com/zhengzhengyiyi/config-editor,GITHUB_SOURCE,True
Q6K00191,Q6K00191_N05,FMOD0086,dU1doC63,1.1.11+26.1.2,io/github/zhengzhengyiyi/gui/EditorScreen.class,0f432478fc25cf36848cdd710026fcad137ebf399af793b6261b6ee905c62dcf,EditorScreen,EditorScreen.java,SHXjjvQ7,https://github.com/zhengzhengyiyi/config-editor,GITHUB_SOURCE,True
Q6K00191,Q6K00191_N06,FMOD0086,dU1doC63,1.1.11+26.1.2,io/github/zhengzhengyiyi/ConfigEditorClient.class,c58b6b41023db8644403e207769b70177889038025c5a0edf7b59c880f3df1df,ConfigEditorClient,ConfigEditorClient.java,SHXjjvQ7,https://github.com/zhengzhengyiyi/config-editor,GITHUB_SOURCE,True
Q6K00192,Q6K00192_N01,FMOD0086,VxmUBIb6,1.1.11+26.1,io/github/zhengzhengyiyi/gui/PluginManagerScreen.class,163787375f3c91fa5c455348b37d2b2d2d9c86ed6d1d9e537d94ab53a7ba970d,PluginManagerScreen,PluginManagerScreen.java,SHXjjvQ7,https://github.com/zhengzhengyiyi/config-editor,GITHUB_SOURCE,True
Q6K00192,Q6K00192_N03,FMOD0086,VxmUBIb6,1.1.11+26.1,io/github/zhengzhengyiyi/hud/BlockOverlayHudElement.class,eaa03f9007fc68efc4c6167f64fb7ead1c638ae988524487569694b934690b63,BlockOverlayHudElement,BlockOverlayHudElement.java,SHXjjvQ7,https://github.com/zhengzhengyiyi/config-editor,GITHUB_SOURCE,True
Q6K00192,Q6K00192_N04,FMOD0086,VxmUBIb6,1.1.11+26.1,io/github/zhengzhengyiyi/gui/AIChatScreen.class,9687475dec4e9041116ff4904aa5732efb99042322e7231a88ea04d33a8b7df3,AIChatScreen,AIChatScreen.java,SHXjjvQ7,https://github.com/zhengzhengyiyi/config-editor,GITHUB_SOURCE,True
Q6K00192,Q6K00192_N05,FMOD0086,VxmUBIb6,1.1.11+26.1,io/github/zhengzhengyiyi/ConfigEditorClient.class,c58b6b41023db8644403e207769b70177889038025c5a0edf7b59c880f3df1df,ConfigEditorClient,ConfigEditorClient.java,SHXjjvQ7,https://github.com/zhengzhengyiyi/config-editor,GITHUB_SOURCE,True
Q6K00192,Q6K00192_N07,FMOD0086,VxmUBIb6,1.1.11+26.1,io/github/zhengzhengyiyi/gui/EntityOverlayHubScreen.class,fc1e167a97720fc4ab5142b6674e13aef571f83f80b84e036860934970664873,EntityOverlayHubScreen,EntityOverlayHubScreen.java,SHXjjvQ7,https://github.com/zhengzhengyiyi/config-editor,GITHUB_SOURCE,True
Q6K00193,Q6K00193_N01,FMOD0025,SJkLNQa4,1.0.7,imyarchez/offclient/config/ConfigStore.class,de014c8a206692b41f6781e20cd0679f444e2d7a4c7003c7d4887afb11b6b8a2,ConfigStore,ConfigStore.java,iyuwyWOH,,NO_SOURCE_URL,False
Q6K00193,Q6K00193_N03,FMOD0025,SJkLNQa4,1.0.7,imyarchez/offclient/module/Module.class,76e6abb520e8ebecbfcb17c052d69154491c17c2f3dbb2becc44fda97597d2de,Module,Module.java,iyuwyWOH,,NO_SOURCE_URL,False
Q6K00193,Q6K00193_N05,FMOD0025,SJkLNQa4,1.0.7,imyarchez/offclient/module/modules/ElytraSwapModule.class,7574df9f5aa77a7cda500cf162e3b45afc2e40afc6e86cb5968b55c7a99de8b7,ElytraSwapModule,ElytraSwapModule.java,iyuwyWOH,,NO_SOURCE_URL,False
Q6K00193,Q6K00193_N06,FMOD0025,SJkLNQa4,1.0.7,imyarchez/offclient/module/modules/HealthHeartsModule.class,9df93155304feb9b90cdad00e5838c55181607a1f3a46aa70ceeafa5354763a7,HealthHeartsModule,HealthHeartsModule.java,iyuwyWOH,,NO_SOURCE_URL,False
Q6K00193,Q6K00193_N07,FMOD0025,SJkLNQa4,1.0.7,imyarchez/offclient/module/modules/HealthHeartsModule$TargetMode.class,75ebdf98ea44531d556a4b299ec2431a9a42cc3282a93f2ba1f745411c3210c1,HealthHeartsModule,HealthHeartsModule.java,iyuwyWOH,,NO_SOURCE_URL,False
Q6K00194,Q6K00194_N01,FMOD0083,OkGF8Kho,0.1.10,io/wispforest/accessories_compat/curios/AccessoriesEventHooks.class,4a231bf942c9bb9ef7e94a940780a6cae19cd36033c18cbafec1e8b5c5539ed2,AccessoriesEventHooks,AccessoriesEventHooks.java,ySnjMzLg,https://github.com/wisp-forest/accessories-compat-layer,GITHUB_SOURCE,True
Q6K00194,Q6K00194_N02,FMOD0083,OkGF8Kho,0.1.10,io/wispforest/accessories_compat/curios/wrapper/CuriosConversionUtils.class,6269d9d9ccb0da048eae50ce4afc4beba7e069f4719d155437d8260c88f9e0c4,CuriosConversionUtils,CuriosConversionUtils.java,ySnjMzLg,https://github.com/wisp-forest/accessories-compat-layer,GITHUB_SOURCE,True
Q6K00194,Q6K00194_N05,FMOD0083,OkGF8Kho,0.1.10,io/wispforest/accessories_compat/curios/wrapper/AccessoryFromCurio.class,6f21dfc649aa0df9a70980395b608aa41962de1a8b675a0f6e9c5a6c60fb778d,AccessoryFromCurio,AccessoryFromCurio.java,ySnjMzLg,https://github.com/wisp-forest/accessories-compat-layer,GITHUB_SOURCE,True
Q6K00194,Q6K00194_N06,FMOD0083,OkGF8Kho,0.1.10,io/wispforest/accessories_compat/curios/mixin/CurioInventoryMixin.class,223b63f48832d69627a9cb9c952a34ab6e9e82f421bfede2d00b4c1bba15b1a1,CurioInventoryMixin,CurioInventoryMixin.java,ySnjMzLg,https://github.com/wisp-forest/accessories-compat-layer,GITHUB_SOURCE,True
Q6K00194,Q6K00194_N07,FMOD0083,OkGF8Kho,0.1.10,io/wispforest/accessories_compat/curios/mixin/CuriosImplMixinHooksMixin.class,1337c0107ea2b667d38b49b611611325af3a12ea682f57e301b7bb0fd3defd9a,CuriosImplMixinHooksMixin,CuriosImplMixinHooksMixin.java,ySnjMzLg,https://github.com/wisp-forest/accessories-compat-layer,GITHUB_SOURCE,True
Q6K00195,Q6K00195_N01,FMOD0061,xDUfCCkw,1.1.0+1.21.9-1.21.11,nl/devpieter/narratless/statics/KeyBindings.class,57db9c7822ea5fb9895fa6f96852f8a49b30f616ba99162cb583320977d979f4,KeyBindings,KeyBindings.java,Zkk0brtY,https://github.com/DevPieter/Narratless,GITHUB_SOURCE,True
Q6K00195,Q6K00195_N02,FMOD0061,xDUfCCkw,1.1.0+1.21.9-1.21.11,nl/devpieter/narratless/statics/Options.class,ccfc9702ffabf52e2c4b4e6ab17bb1964b770332fd08f947482b156ea525ceb4,Options,Options.java,Zkk0brtY,https://github.com/DevPieter/Narratless,GITHUB_SOURCE,True
Q6K00195,Q6K00195_N04,FMOD0061,xDUfCCkw,1.1.0+1.21.9-1.21.11,nl/devpieter/narratless/Narratless.class,292fe02e7633aedff78097b195ff26ee90ca662a1e7361f2670b6b02363b1a87,Narratless,Narratless.java,Zkk0brtY,https://github.com/DevPieter/Narratless,GITHUB_SOURCE,True
Q6K00195,Q6K00195_N05,FMOD0061,xDUfCCkw,1.1.0+1.21.9-1.21.11,nl/devpieter/narratless/statics/Settings.class,f857b423152972d6794a84af848a0498883f028ea1c48e4605fc9a9f85054859,Settings,Settings.java,Zkk0brtY,https://github.com/DevPieter/Narratless,GITHUB_SOURCE,True
Q6K00195,Q6K00195_N07,FMOD0061,xDUfCCkw,1.1.0+1.21.9-1.21.11,nl/devpieter/narratless/mixins/GameOptionsMixin.class,b5b719c0470eb1d98080b5700a0c328c9217c82e80e362ff028659921d3cd068,GameOptionsMixin,GameOptionsMixin.java,Zkk0brtY,https://github.com/DevPieter/Narratless,GITHUB_SOURCE,True
Q6K00196,Q6K00196_N01,FMOD0050,m7qcoBP2,A0.4.1,eu/stefanbraun612/smartautomine/client/MinePreset.class,de4455099af9deca91a87883506875f32ea5797e2d5f004149d5e2d2d0e1bc14,MinePreset,MinePreset.java,IvNJRZCq,https://github.com/StefanBraun2001/smart-auto-mine,GITHUB_SOURCE,True
Q6K00196,Q6K00196_N02,FMOD0050,m7qcoBP2,A0.4.1,eu/stefanbraun612/smartautomine/client/config/SmartAutoMineConfig$RegularMineMode.class,eb0ee96e8bc7a18dc79a8f50e5f992d7f3e3505205c9255ba63b6939f6694114,SmartAutoMineConfig,SmartAutoMineConfig.java,IvNJRZCq,https://github.com/StefanBraun2001/smart-auto-mine,GITHUB_SOURCE,True
Q6K00196,Q6K00196_N03,FMOD0050,m7qcoBP2,A0.4.1,eu/stefanbraun612/smartautomine/client/config/SmartAutoMineConfig$FoodSafetyPreset.class,9077e35eef7041adfee4d4f629ef2dd00988006845fe39f8381513f023312f13,SmartAutoMineConfig,SmartAutoMineConfig.java,IvNJRZCq,https://github.com/StefanBraun2001/smart-auto-mine,GITHUB_SOURCE,True
