scale,scale_type,backend,queries,unique_registered_parents,base_real_components,component_multiplier,effective_gallery_components,mean_shortlist_parents,shortlist_fraction,mean_exact_top10_overlap,exact_top10_identical_rate,search_mean_ms,search_p50_ms,search_p95_ms,search_p99_ms,throughput_qps,speedup_p50_vs_exact,speedup_p95_vs_exact,state_build_ms,lsh_index_build_ms,lsh_index_keys,lsh_unique_parent_postings,numeric_array_mb,candidate_pool_under_10_queries,empty_shortlist_before_fallback
80,REAL,EXACT,120,80,40939,1,40939,80.0,1.0,1.0,1.0,18.718043233333333,18.584407499999998,19.54379775,20.31005963,53.39234000840823,1.0,1.0,292.658585,0.0,0,0,1.9235458374023438,,
80,REAL,FAST,120,80,40939,1,40939,25.125,0.3140625,0.8066666666666668,0.38333333333333336,15.690306583333335,16.4714465,19.41939365,20.03919445,63.67426494181814,1.128280233311628,1.0064061783927019,292.658585,332.450816,170842,188388,1.9235458374023438,8.0,0.0
80,REAL,BALANCED,120,80,40939,1,40939,72.6,0.9075,1.0,0.9916666666666667,20.057990641666667,19.961533,21.1250724,21.801546000000002,49.81562390726315,0.93101103507431,0.9251470186677324,292.658585,437.201632,194022,286735,1.9235458374023438,0.0,0.0
80,REAL,HIGH_RECALL,120,80,40939,1,40939,79.36666666666666,0.9920833333333332,1.0,1.0,20.113538358333336,20.0388465,20.9050479,21.29241517,49.67882445414996,0.9274190258406341,0.9348841410691051,292.658585,335.422755,19983,200924,1.9235458374023438,0.0,0.0
100,REAL,EXACT,120,100,48376,1,48376,100.0,1.0,1.0,1.0,20.642767708333334,20.5693375,21.5758982,22.29804318,48.41503002098605,1.0,1.0,331.768207,0.0,0,0,2.1810874938964844,,
100,REAL,FAST,120,100,48376,1,48376,30.55,0.3055,0.8141666666666668,0.38333333333333336,16.872863833333334,17.933557,21.4048412,23.49780605,59.209891046246284,1.1469747747198171,1.0079915098832877,331.768207,366.614545,188615,210547,2.1810874938964844,8.0,0.0
100,REAL,BALANCED,120,100,48376,1,48376,91.09166666666667,0.9109166666666667,1.0,0.975,22.412328375,22.2529945,23.50873255,24.370245620000002,44.58243374774677,0.9243402050901509,0.9177822817164168,331.768207,480.742719,209914,323851,2.1810874938964844,0.0,0.0
100,REAL,HIGH_RECALL,120,100,48376,1,48376,99.36666666666666,0.9936666666666666,1.0,1.0,23.19377224166666,22.928345,24.7506682,26.345050660000002,43.07843698795702,0.8971139216546157,0.8717299276792859,331.768207,385.562269,20188,242159,2.1810874938964844,0.0,0.0
200eq,SYNTHETIC_COMPONENT_VOLUME,EXACT,120,100,48376,2,96752,100.0,1.0,1.0,1.0,40.028980016666665,39.747144,41.779971599999996,45.08599894,24.971982455374356,1.0,1.0,371.468843,0.0,0,0,4.362174987792969,,
200eq,SYNTHETIC_COMPONENT_VOLUME,FAST,120,100,48376,2,96752,30.55,0.3055,0.8141666666666668,0.38333333333333336,32.51033525,34.1053685,41.29208594999999,43.15549242,30.7403715114022,1.1654219188395516,1.0118154759871123,371.468843,401.85106,188615,210547,4.362174987792969,8.0,0.0
200eq,SYNTHETIC_COMPONENT_VOLUME,BALANCED,120,100,48376,2,96752,91.09166666666667,0.9109166666666667,1.0,0.975,44.97852163333334,45.896521,48.0704914,48.883507140000006,22.221249997269332,0.8660164895722706,0.8691396818131965,371.468843,516.997413,209914,323851,4.362174987792969,0.0,0.0
200eq,SYNTHETIC_COMPONENT_VOLUME,HIGH_RECALL,120,100,48376,2,96752,99.36666666666666,0.9936666666666666,1.0,1.0,45.584131899999996,46.3049525,49.30541685,50.560183630000004,21.926931504750037,0.8583778160662189,0.8473708218937813,371.468843,407.739608,20188,242159,4.362174987792969,0.0,0.0
500eq,SYNTHETIC_COMPONENT_VOLUME,EXACT,120,100,48376,5,241880,100.0,1.0,1.0,1.0,98.42863229166666,98.615211,102.80236005,103.4926879,10.15780791404375,1.0,1.0,328.692849,0.0,0,0,10.905437469482422,,
500eq,SYNTHETIC_COMPONENT_VOLUME,FAST,120,100,48376,5,241880,30.55,0.3055,0.8141666666666668,0.38333333333333336,76.46940875,81.6579,98.44769009999999,100.92301975000001,13.07324257976143,1.207662834826759,1.044233337984636,328.692849,370.215445,188615,210547,10.905437469482422,8.0,0.0
500eq,SYNTHETIC_COMPONENT_VOLUME,BALANCED,120,100,48376,5,241880,91.09166666666667,0.9109166666666667,1.0,0.975,103.52971585833332,103.70916700000001,106.72813245,108.11652764,9.656878042117517,0.9508822976082721,0.9632170796032701,328.692849,479.728128,209914,323851,10.905437469482422,0.0,0.0
500eq,SYNTHETIC_COMPONENT_VOLUME,HIGH_RECALL,120,100,48376,5,241880,99.36666666666666,0.9936666666666666,1.0,1.0,104.122073325,104.163703,105.81308165,106.91436928,9.602024967204525,0.9467329612888282,0.9715467922013781,328.692849,372.745934,20188,242159,10.905437469482422,0.0,0.0
1000eq,SYNTHETIC_COMPONENT_VOLUME,EXACT,120,100,48376,10,483760,100.0,1.0,1.0,1.0,197.42794134166667,195.4418805,209.20331635,220.60612153000002,5.064664653214973,1.0,1.0,350.284363,0.0,0,0,21.810874938964844,,
1000eq,SYNTHETIC_COMPONENT_VOLUME,FAST,120,100,48376,10,483760,30.55,0.3055,0.8141666666666668,0.38333333333333336,157.43409686666666,166.121497,199.11603499999998,200.64734117,6.35090688315459,1.176499634481382,1.0506603164833008,350.284363,339.343975,188615,210547,21.810874938964844,8.0,0.0
1000eq,SYNTHETIC_COMPONENT_VOLUME,BALANCED,120,100,48376,10,483760,91.09166666666667,0.9109166666666667,1.0,0.975,207.52716105,207.4677645,214.8613049,218.85848094,4.818095149198553,0.9420349275513594,0.9736667868016844,350.284363,468.655718,209914,323851,21.810874938964844,0.0,0.0
1000eq,SYNTHETIC_COMPONENT_VOLUME,HIGH_RECALL,120,100,48376,10,483760,99.36666666666666,0.9936666666666666,1.0,1.0,208.51725580833335,209.1281765,213.84710565,215.30676934,4.7952257761618835,0.9345554662740533,0.978284535178136,350.284363,397.064353,20188,242159,21.810874938964844,0.0,0.0
