query_id,scenario,k_true,known_true_parent_count,known_true_parents_covered,known_parent_recall,all_known_true_parents_present,candidate_pool
Q11A0064,MU_1K3U,2,1,1,1.0,True,"[""FMOD0005"", ""FMOD0023"", ""FMOD0035"", ""FMOD0055"", ""FMOD0036"", ""FMOD0119"", ""FMOD0069"", ""FMOD0079"", ""FMOD0051"", ""FMOD0110""]"
Q11A0065,MU_1K3U,2,1,1,1.0,True,"[""FMOD0055"", ""FMOD0110"", ""FMOD0023"", ""FMOD0119"", ""FMOD0102"", ""FMOD0035"", ""FMOD0036"", ""FMOD0120"", ""FMOD0079"", ""FMOD0069""]"
Q11A0066,MU_1K3U,2,1,1,1.0,True,"[""FMOD0060"", ""FMOD0023"", ""FMOD0119"", ""FMOD0036"", ""FMOD0102"", ""FMOD0035"", ""FMOD0120"", ""FMOD0110"", ""FMOD0025"", ""FMOD0069""]"
Q11A0067,MU_1K3U,2,1,1,1.0,True,"[""FMOD0096"", ""FMOD0035"", ""FMOD0005"", ""FMOD0102"", ""FMOD0069"", ""FMOD0079"", ""FMOD0036"", ""FMOD0083"", ""FMOD0120"", ""FMOD0077""]"
Q11A0068,MU_1K3U,2,1,1,1.0,True,"[""FMOD0089"", ""FMOD0023"", ""FMOD0060"", ""FMOD0036"", ""FMOD0035"", ""FMOD0110"", ""FMOD0120"", ""FMOD0119"", ""FMOD0069"", ""FMOD0014""]"
Q11A0069,MU_1K3U,2,1,1,1.0,True,"[""FMOD0055"", ""FMOD0096"", ""FMOD0023"", ""FMOD0035"", ""FMOD0119"", ""FMOD0120"", ""FMOD0102"", ""FMOD0079"", ""FMOD0069"", ""FMOD0036""]"
Q11A0070,MU_1K3U,2,1,1,1.0,True,"[""FMOD0025"", ""FMOD0119"", ""FMOD0035"", ""FMOD0113"", ""FMOD0102"", ""FMOD0120"", ""FMOD0005"", ""FMOD0069"", ""FMOD0033"", ""FMOD0077""]"
Q11A0071,MU_1K3U,2,1,1,1.0,True,"[""FMOD0055"", ""FMOD0016"", ""FMOD0035"", ""FMOD0023"", ""FMOD0120"", ""FMOD0102"", ""FMOD0079"", ""FMOD0119"", ""FMOD0036"", ""FMOD0069""]"
Q11A0072,MU_1K3U,2,1,1,1.0,True,"[""FMOD0023"", ""FMOD0102"", ""FMOD0035"", ""FMOD0120"", ""FMOD0119"", ""FMOD0079"", ""FMOD0069"", ""FMOD0036"", ""FMOD0077"", ""FMOD0055""]"
Q11A0073,MU_1K3U,2,1,1,1.0,True,"[""FMOD0022"", ""FMOD0035"", ""FMOD0023"", ""FMOD0102"", ""FMOD0119"", ""FMOD0120"", ""FMOD0055"", ""FMOD0069"", ""FMOD0110"", ""FMOD0036""]"
